title,rating,lessons,price,is_free,link
Framework to Choose the Right LLM for your Business,No ratings,6 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business
Improving Real World RAG Systems: Key Challenges & Practical Solutions,No ratings,12 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges
Building Smarter LLMs with Mamba and State Space Model,No ratings,14 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/SSMAndMambaForAI
Generative AI - A Way of Life - Free Course,No ratings,30 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life
Getting Started with Large Language Models,17,18 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/getting-started-with-llms
Building LLM Applications using Prompt Engineering - Free Course,5,17 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free
MidJourney: From Inspiration to Implementation - Free Course,1,5 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation
Building Your first RAG System using LlamaIndex - Free Course,5,12 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex
Exploring Stability.AI - Free Course,2,7 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/exploring-stability-ai
Introduction to AI & ML,172,17 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml
Introduction to Python,1567,70 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/introduction-to-data-science
Machine Learning Certification Course for Beginners,527,261 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/Machine-Learning-Certification-Course-for-Beginners
The Working of Neural Networks - Free Course,No ratings,11 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/The%20Working%20of%20Neural%20Networks
Understanding Linear Regression - Free Course,2,10 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression
Building a Text Classification Model with Natural Language Processing - Free Course,1,16 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing
The A to Z of Unsupervised ML - Free Course,No ratings,13 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide
Bagging and Boosting ML Algorithms - Free Course,No ratings,16 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms
Data Preprocessing on a Real-World Problem Statement - Free Course,2,13 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/data-preprocessing
Introduction to Business Analytics,410,32 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/introduction-to-analytics
Microsoft Excel: Formulas & Functions,377,33 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/microsoft-excel-formulas-functions
Tableau for Beginners,237,17 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/tableau-for-beginners
Loan Prediction Practice Problem (Using Python),358,16 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python
Twitter Sentiment Analysis,127,18 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis
Introduction to Web Scraping using Python,95,13 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/introduction-to-web-scraping
Big Mart Sales Prediction Using R,80,19 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r
Time Series Forecasting using Python,208,22 Lessons,Free,True,https://courses.analyticsvidhya.com/courses/creating-time-series-forecast-using-python
